DoubleLaunch,obj2,0.010360384899194247
DoubleLaunch,obj3,0.0009388263004688576
DoubleLaunch,obj1,0.021977475078757597
Remove,obj2,0.02328305414095498
Remove,obj3,0.03362916878116054
Remove,obj1,0.014744020372135168
Trap,obj2,0.06012845996380574
Trap,obj3,0.02806769427427196
Trap,obj1,0.0026279910687822326
BasicAlt,obj2,8.502895235827799e-06
BasicAlt,obj3,0.0
BasicAlt,obj1,0.010993278697929768
TableAlt,obj2,0.001655510575468956
TableAlt,obj3,0.0038328997801312897
TableAlt,obj1,0.02404021169947635
FallingAlt,obj2,0.012776713902719264
FallingAlt,obj3,0.003785934291581109
FallingAlt,obj1,0.003325508607198748
Collapse,obj2,0.1718634524019004
Collapse,obj3,0.005590918855359707
Collapse,obj1,0.14989984752907412
Shove,obj2,0.08624720756499668
Shove,obj3,0.001602447374171462
Shove,obj1,0.13517754914127866
Spiky,obj2,0.012849190412038332
Spiky,obj3,0.0009412800185811121
Spiky,obj1,7.134024541044421e-05
Balance,obj2,0.00602782329532154
Balance,obj3,0.01645516944011311
Balance,obj1,0.001214040643969385
